phenotypes,referenceCardinality,nViolations,fitness,likelihood,generality,X2S
:319  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#end>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:320  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:321  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRI ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:345  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:346  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#confidence>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRI ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:347  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:348  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:349  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:378  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:412  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:413  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#confidence>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
:414  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] . ,2977,0,2977,"3,63E-74","0,0711",
