"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(dbo:SpaceStation dbo:MeanOfTransportation)" 38 38 0 1 1 44 1 0.767490798290496 4 152
"SubClassOf(dbo:SpaceStation gml:_Feature)" 38 1 0 1 0.227901422048536 96 0.227901422048536 0.288102874996765 4 152
"SubClassOf(dbo:SpaceStation owl:Thing)" 38 38 0 1 1 24 1 0.767490798290496 4 152
"SubClassOf(dbo:SpaceStation skos:Concept)" 38 1 0 1 0.227901422048536 96 0.227901422048536 0.288102874996765 4 152
"SubClassOf(dbo:ComedyGroup dbo:Agent)" 32 32 0 1 1 40 1 0.747742027049705 6 192
"SubClassOf(dbo:ComedyGroup dbo:Organisation)" 32 32 0 1 1 20 1 0.747742027049705 6 192
"SubClassOf(dbo:ComedyGroup schema:Organization)" 32 32 0 1 1 24 1 0.747742027049705 6 192
"SubClassOf(dbo:ComedyGroup owl:Thing)" 32 32 0 1 1 28 1 0.747742027049705 6 192
"SubClassOf(dbo:ComedyGroup skos:Concept)" 32 1 0 1 0.248039185412305 256 0.248039185412305 0.312524357879024 6 192
"SubClassOf(dbo:ComedyGroup foaf:Person)" 32 25 0 1 0.97578093724975 384 0.97578093724975 0.5 6 192
"SubClassOf(dbo:YearInSpaceflight dbo:TimePeriod)" 56 56 0 1 1 36 1 0.807417949633606 3 168
"SubClassOf(dbo:YearInSpaceflight owl:Thing)" 56 56 0 1 1 28 1 0.807417949633606 3 168
"SubClassOf(dbo:YearInSpaceflight skos:Concept)" 56 56 0 1 1 28 1 0.807417949633606 3 168
"SubClassOf(dbo:TelevisionHost dbo:Agent)" 36 36 0 1 1 36 1 0.761413951766507 6 216
"SubClassOf(dbo:TelevisionHost dbo:Person)" 36 36 0 1 1 20 1 0.761413951766507 6 216
"SubClassOf(dbo:TelevisionHost dbo:Presenter)" 36 36 0 1 1 20 1 0.761413951766507 6 216
"SubClassOf(dbo:TelevisionHost schema:Person)" 36 36 0 1 1 24 1 0.761413951766507 6 216
"SubClassOf(dbo:TelevisionHost owl:Thing)" 36 36 0 1 1 20 1 0.761413951766507 6 216
"SubClassOf(dbo:TelevisionHost foaf:Person)" 36 36 0 1 1 20 1 0.761413951766507 6 216
"SubClassOf(dbo:Lymph dbo:AnatomicalStructure)" 92 92 0 1 1 44 1 0.849613718575145 2 184
"SubClassOf(dbo:Lymph owl:Thing)" 92 92 0 1 1 28 1 0.849613718575145 2 184
"SubClassOf(dbo:Spacecraft dbo:MeanOfTransportation)" 84 84 0 1 1 44 1 0.84258432377691 3 252
"SubClassOf(dbo:Spacecraft gml:_Feature)" 84 1 0 1 0.153843428372858 208 0.153843428372858 0.194878920843385 3 252
"SubClassOf(dbo:Spacecraft owl:Thing)" 84 84 0 1 1 44 1 0.84258432377691 3 252
"SubClassOf(dbo:VolleyballLeague dbo:Agent)" 58 58 0 1 1 48 1 0.810719965691915 5 290
"SubClassOf(dbo:VolleyballLeague dbo:Organisation)" 58 58 0 1 1 28 1 0.810719965691915 5 290
"SubClassOf(dbo:VolleyballLeague dbo:SportsLeague)" 58 58 0 1 1 24 1 0.810719965691915 5 290
"SubClassOf(dbo:VolleyballLeague schema:Organization)" 58 58 0 1 1 28 1 0.810719965691915 5 290
"SubClassOf(dbo:VolleyballLeague owl:Thing)" 58 58 0 1 1 28 1 0.810719965691915 5 290
"SubClassOf(dbo:WomensTennisAssociationTournament dbo:Event)" 59 59 0 1 1 284 1 0.81231025719296 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament dbo:SportsEvent)" 59 59 0 1 1 36 1 0.81231025719296 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament schema:Event)" 59 59 0 1 1 24 1 0.81231025719296 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament schema:SportsEvent)" 59 59 0 1 1 20 1 0.81231025719296 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament gml:_Feature)" 59 8 0 1 0.502793117769197 164 0.502793117769198 0.437480861731965 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament owl:Thing)" 59 59 0 1 1 20 1 0.81231025719296 7 413
"SubClassOf(dbo:WomensTennisAssociationTournament skos:Concept)" 59 7 0 1 0.472452876771741 124 0.472452876771741 0.414357135418216 7 413
"SubClassOf(dbo:Archaea dbo:Species)" 171 171 0 1 1 36 1 0.89011969295438 2 342
"SubClassOf(dbo:Archaea owl:Thing)" 171 171 0 1 1 20 1 0.89011969295438 2 342
"SubClassOf(dbo:ClubMoss dbo:Eukaryote)" 89 89 0 1 1 36 1 0.847086851484222 5 445
"SubClassOf(dbo:ClubMoss dbo:Plant)" 89 89 0 1 1 20 1 0.847086851484222 5 445
"SubClassOf(dbo:ClubMoss dbo:Species)" 89 89 0 1 1 20 1 0.847086851484222 5 445
"SubClassOf(dbo:ClubMoss owl:Thing)" 89 89 0 1 1 24 1 0.847086851484222 5 445
"SubClassOf(dbo:ClubMoss skos:Concept)" 89 2 0 1 0.210805202688694 216 0.210805202688694 0.220329064718612 5 445
