"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(schema:Museum dbo:Museum)" 3966 3966 0 1 1 1954 1 0.977757545287361 14 55524
"SubClassOf(schema:Museum dbo:Place)" 3966 3964 0 1 0.999999872847588 2249 0.999999872847588 0.968404704153235 14 55524
"SubClassOf(schema:Museum dbo:PopulatedPlace)" 3966 2 3957 2.57483949805959e-06 0 2259257 -0.999997425160502 0.031595295846765 14 55524
"SubClassOf(schema:Museum dbo:Settlement)" 3966 2 3957 2.57483949805959e-06 0 2291638 -0.999997425160502 0.031595295846765 14 55524
"SubClassOf(schema:Museum dbo:TelevisionStation)" 3966 1 2 0.968245967742953 0 876687 -0.0317540322570474 0.0273072721540815 14 55524
"SubClassOf(schema:Museum schema:Place)" 3966 3964 0 1 0.999999872847588 2268 0.999999872847588 0.968404704153235 14 55524
"SubClassOf(schema:Museum schema:TelevisionStation)" 3966 1 2 0.968245967742953 0 877061 -0.0317540322570474 0.0273072721540815 14 55524
"SubClassOf(schema:Museum gml:_Feature)" 3966 3114 0 1 0.976652333547592 1738 0.976652333547592 0.5 14 55524
"SubClassOf(schema:Museum owl:Thing)" 3966 3966 0 1 1 2284 1 0.977757545287361 14 55524
"SubClassOf(schema:Museum skos:Concept)" 3966 35 0 1 0.132559965173521 2193 0.132559965173521 0.0988268779409801 14 55524
"SubClassOf(schema:Museum foaf:Person)" 3966 2 0 1 0.0317540322570475 56247 0.0317540322570475 0.031595295846765 14 55524
"SubClassOf(dbo:Award gml:_Feature)" 2337 4 0 1 0.0584830109140598 2347 0.0584830109140597 0.050831511710711 4 9348
"SubClassOf(dbo:Award owl:Thing)" 2337 2337 0 1 1 405 1 0.970940628712498 4 9348
"SubClassOf(dbo:Award skos:Concept)" 2337 92 0 1 0.277819511733245 423 0.277819511733245 0.212470270457602 4 9348
"SubClassOf(dbo:Award foaf:Person)" 2337 1 0 1 0.0292508962956147 4931 0.0292508962956146 0.0357003991147132 4 9348
"SubClassOf(schema:Product dbo:Agent)" 51303 8 41707 0.017648766194157 0 2022296 -0.982351233805843 0.0137777468059651 21 1077363
"SubClassOf(schema:Product dbo:Aircraft)" 51303 9589 41707 0.017648766194157 0 1081294 -0.982351233805843 0.47552779687934 21 1077363
"SubClassOf(schema:Product dbo:Artist)" 51303 1 41708 0.0176450549932038 0 2339388 -0.982354945006796 0.00752275274373357 21 1077363
"SubClassOf(schema:Product dbo:Astronaut)" 51303 1 41708 0.0176450549932038 0 229953 -0.982354945006796 0.00752275274373357 21 1077363
"SubClassOf(schema:Product dbo:Automobile)" 51303 8661 42635 0.014376573661817 0 989663 -0.985623426338183 0.451547010864342 21 1077363
"SubClassOf(schema:Product dbo:Device)" 51303 4709 46594 0.00422142912616952 0 5292450 -0.99577857087383 0.328905932772608 21 1077363
"SubClassOf(schema:Product dbo:Locomotive)" 51303 2781 48517 0.00147559523724927 0 435016 -0.998524404762751 0.249085981580201 21 1077363
"SubClassOf(schema:Product dbo:MeanOfTransportation)" 51303 46594 4709 0.581489580282916 0 383456 -0.418510419717084 0.671094067227392 21 1077363
"SubClassOf(schema:Product dbo:MusicalArtist)" 51303 1 41708 0.0176450549932038 0 2329011 -0.982354945006796 0.00752275274373357 21 1077363
"SubClassOf(schema:Product dbo:Person)" 51303 90 33047 0.0654556344476496 0 1818206 -0.93454436555235 0.0423577722956994 21 1077363
"SubClassOf(schema:Product dbo:Ship)" 51303 25556 25742 0.132958526024107 0 867423 -0.867041473975893 0.5 21 1077363
